token,Happiness Score
invites,
latin,6.12
america,6.34
s,5.02
rightwing,
leaders,
to,4.84
florida,6.78
summit,
seven,
days,6.44
on,6.1
seven,
questions,
about,5.38
the,5.2
us,5.94
israeli,
war,2.04
on,6.1
iran,
tehran,
warns,
europe,
to,4.84
stay,5.78
out,4.12
of,4.82
conflict,
or,5.24
face,6.88
retaliation,
as,5.2
it,5.46
happened,
ukraine,
war,2.04
briefing,
nationwide,
air,6.62
alert,
issued,
after,5.4
at,4.9
least,
six,
killed,
in,5.76
strikes,
on,6.1
kharkiv,
and,5.4
dnipro,
canadian,
pm,5.76
mark,
carney,
says,5.66
former,
prince,
andrew,
should,4.86
be,5.66
removed,
from,5.66
royal,
line,5.52
of,4.82
succession,
iran,
war,2.04
briefing,
us,5.94
lets,5.78
india,6.1
buy,6.44
russian,
oil,
after,5.4
energy,
prices,
jump,
trump,
demands,
iran,
s,5.02
unconditional,
surrender,
as,5.2
bombs,
pound,
tehran,
and,5.4
beirut,
cyprus,
raises,
doubts,
about,5.38
future,
of,4.82
british,
bases,5.8
on,6.1
island,
after,5.4
drone,
strike,
met,5.66
interviews,
women,
suspected,
of,4.82
facilitating,
mohamed,
al,5.14
fayed,
s,5.02
alleged,
sexual,6.78
abuse,
if,5.2
they,5.62
don,6.22
t,4.9
stop,4.74
tehran,
will,6.18
turn,
into,5.32
gaza,
iranians,
describe,5.8
night,7.06
of,4.82
terror,3.36
the,5.2
memories,
stay,5.78
behind,
hundreds,
of,4.82
thousands,
flee,
the,5.2
israeli,
bombs,
in,5.76
beirut,
international,7.08
law,
and,5.4
the,5.2
difficulty,
of,4.82
dealing,
with,5.94
trump,
at,4.9
war,2.04
letters,
tory,
peer,
to,4.84
leave,4.4
lords,
after,5.4
investigation,
finds,
he,5.36
breached,
standards,
over,4.2
covid,
ppe,
deals,
hungary,
demands,
answers,
over,4.2
seized,
ukrainian,
gold,7.26
and,5.4
cash,
as,5.2
kyiv,
accuses,
budapest,
of,4.82
hostage,
situation,
as,5.2
it,5.46
happened,
hungary,
seizes,
millions,
of,4.82
euros,7.02
in,5.76
cash,
and,5.4
gold,7.26
from,5.66
ukrainian,
convoy,
iranian,
mathematician,
missing,
in,5.76
canada,7.1
may,5.72
have,6.12
been,5.44
targeted,
by,5.28
tehran,
activists,
say,5.82
leak,
from,5.66
secret,
uk,6.12
meeting,
about,5.38
us,5.94
attacks,
on,6.1
iran,
a,5.26
travesty,
says,5.66
lammy,
where,5.36
do,5.66
we,5.96
go,6.34
what,5.16
it,5.46
s,5.02
like,7.26
being,6.2
an,5.08
airline,
pilot,
when,5.3
missiles,
start,6.54
crossing,
your,5.98
flight,
path,
from,5.66
one,5.8
catastrophe,
to,4.84
another,5.7
lebanese,
australians,
look,6.46
on,6.1
in,5.76
horror,2.64
as,5.2
relatives,
flee,
homes,
iran,
is,5.34
not,3.88
venezuela,5.54
despite,
trump,
s,5.02
hopes,
of,4.82
repeating,
regime,
capture,
strategy,
us,5.94
officials,
increase,
security,6.5
over,4.2
fear,
of,4.82
attack,
by,5.28
iran,
amid,
us,5.94
israel,5.18
bombing,
trump,
demands,
iran,
s,5.02
surrender,
despite,
mediation,
claim,
italy,
wins,
claim,
over,4.2
name,5.84
of,4.82
spanish,7.16
restaurant,
chain,
the,5.2
mafia,
sits,
at,4.9
the,5.2
table,
italian,
activists,
and,5.4
journalist,
targeted,
by,5.28
spyware,
in,5.76
prosecutors,
confirm,
philippines,
orders,
energy,
cuts,
in,5.76
response,
to,4.84
middle,
east,
war,2.04
